,0
 distention_of_abdomen,114
 painful_walking,228
 swollen_extremeties,120
 weight_gain,114
 indigestion,222
itching,678
 skin_rash,786
 drying_and_tingling_lips,114
 stomach_bleeding,120
 swollen_legs,114
 blister,114
 lack_of_concentration,114
 chills,798
 swollen_blood_vessels,108
 burning_micturition,216
 obesity,228
 scurring,108
 extra_marital_contacts,108
 foul_smell_of urine,102
 dehydration,108
 cramps,114
 congestion,120
 ulcers_on_tongue,108
 enlarged_thyroid,120
 slurred_speech,120
 mucoid_sputum,114
 muscle_weakness,234
 dizziness,336
 joint_pain,684
 sinus_pressure,120
 muscle_pain,474
 brittle_nails,120
 unsteadiness,114
 history_of_alcohol_consumption,114
 spotting_ urination,108
 constipation,228
 headache,1134
 stiff_neck,228
 pain_in_anal_region,114
 shivering,108
 malaise,702
 abnormal_menstruation,240
 neck_pain,228
 weakness_in_limbs,108
 weakness_of_one_body_side,108
 swelling_of_stomach,114
 throat_irritation,120
 nodal_skin_eruptions,108
 swelling_joints,228
 yellow_crust_ooze,114
 bruising,114
 excessive_hunger,462
 dark_urine,570
 continuous_sneezing,222
 diarrhoea,564
 bladder_discomfort,114
 small_dents_in_nails,114
 internal_itching,114
 acute_liver_failure,114
 fast_heart_rate,234
 weight_loss,456
 palpitations,120
 rusty_sputum,120
 fluid_overload,114
 cold_hands_and_feets,114
 muscle_wasting,108
 high_fever,1362
 swelled_lymph_nodes,348
 puffy_face_and_eyes,114
 restlessness,228
 acidity,222
 blurred_and_distorted_vision,342
 blackheads,108
 silver_like_dusting,114
 hip_joint_pain,114
 back_pain,228
 runny_nose,120
 visual_disturbances,114
 blood_in_sputum,120
 vomiting,1914
 phlegm,354
 redness_of_eyes,120
 yellowish_skin,912
 abdominal_pain,1032
 belly_pain,114
 breathlessness,450
 knee_pain,114
 sweating,678
 pain_behind_the_eyes,120
 pain_during_bowel_movements,114
 anxiety,114
 toxic_look_(typhos),114
 bloody_stool,114
 receiving_unsterile_injections,120
 loss_of_appetite,1152
 irritability,474
 prominent_veins_on_calf,114
 mood_swings,228
 fatigue,1932
 dischromic _patches,108
 continuous_feel_of_urine,114
 depression,234
 yellowing_of_eyes,816
 irritation_in_anus,114
 red_sore_around_nose,114
 yellow_urine,114
 cough,564
 receiving_blood_transfusion,120
 patches_in_throat,108
 stomach_pain,222
 red_spots_over_body,234
 pus_filled_pimples,108
 loss_of_balance,342
 coma,120
 mild_fever,354
 polyuria,120
 increased_appetite,120
 skin_peeling,114
 chest_pain,696
 irregular_sugar_level,114
 spinning_movements,108
 movement_stiffness,114
 inflammatory_nails,114
 passage_of_gases,114
 loss_of_smell,120
 family_history,228
 altered_sensorium,114
 watering_from_eyes,108
 nausea,1146
 sunken_eyes,108
 lethargy,456
